标题,来源,时间,概要
湘聚算力|2025世界计算大会先进计算与人工智能融合驱动新实体专题...,红网,未知时间,红网时刻新闻11月20日讯（记者 王嫣）什么是具身智能？它有哪些特点？如何更好地实现这一技术的突破与产业跃迁？11月20日下午，2025世界计算大会先进计算与人工智能融合驱动新实体专题...
"省市领导密集“点题”,最强地级市苏州如何发力人工智能?",每日经济新闻,未知时间,"“‘杭州六小龙’是‘冰山一角’,背后是长三角人工智能产业体系在支撑。”曾刚特别强调,南京、苏州乃至江苏的人工智能发展,需融入长三角一体化进程,在长三角产业集群中找准自己的定位。"
"COP30中国角聚焦人工智能,共议数字技术驱动全球气候治理",21世纪经济报道,未知时间,今年，《联合国气候变化框架公约》第三十次缔约方大会（COP30）首次将人工智能列为关键讨论主题之一，并发布气候相关“人工智能倡议”，旨在支持各国政府加速开发基于此的气候解决方案。当地时间11月18日，COP30中国角举办数字化日活动，集中讨论和展示了利用AI提升全...
"人工智能泡沫或许已经破裂,但行情仍有望持续",钛媒体官方网站,未知时间,"人工智能泡沫或许已经破裂,但行情仍有望持续 AI板块的股票之间的分化比你想象的还要大。 不久前,只要在公司新闻稿中提到“人工智能”,股价就会随之上涨。 然而,随着市场环境的变化,投资者对AI的热情似乎正在减退。尽管Target宣布与OpenAI合作以提振业绩,但股价几乎没..."
澳洲会计师公会调查:中国内地人工智能应用激增 财会人才需求加速...,证券时报,未知时间,11月20日，全球最大的专业会计团体之一澳洲会计师公会最新发布的《2025年商业科技应用调查》显示，过去12个月，中国内地企业的人工智能（AI）应用率与应用成熟度实现同步提升。调查显示，AI的快速发展正深刻重塑财会领域的核心技能要求，并驱使财会人才加速转型。另一...
人工智能系列谈丨加速AI从技术创新到价值创造,新华网,未知时间,人工智能系列谈丨加速AI从技术创新到价值创造 中兴通讯副总裁、中国区战略规划总工张嗣宏在第12届新华网思客年会作观点分享。新华网 发 “十五五”规划建议明确提出，适度超前建设新型...
广西创建人工智能博士后创新联合体,中国组织人事报,未知时间,本号南宁讯（记者 徐丽洁）11月19日，由广西自治区人力资源社会保障厅主办的广西人工智能博士后创新联合体（以下简称“博联体”）创建启动仪式圆满举行。现场，博联体11家成员单位代表...
"指数回调现布局窗口,人工智能ETF(159819)全天净申购超2000万份",每日经济新闻,未知时间,"截至收盘,中证人工智能主题指数下跌0.5%,上证科创板人工智能指数下跌0.8%,资金加仓态度明确,人工智能ETF(159819)全天净申购超2000万份。 华泰证券指出, AI竞争已从单纯的技术参数比拼转..."
生成式人工智能背景下的文化治理现代化路径研究,光明网,未知时间,在全球信息高速流动的格局下，生成式人工智能能够跨越时空限制的特性，使有害信息可以借助算法精准渗透，形成对认知安全、价值安全的冲击。从深度伪造到伪原创，从虚假新闻到文化话语操控，这些风险往往隐蔽、扩散迅速。历史上，文化渗透往往以渐进方式侵蚀民族精神，...
深度融合场景是AGI技术落地的关键丨云知声CEO黄伟在2025人工智能+...,北青网,未知时间,"2025年8月26日,国务院《关于深入实施“人工智能+”行动的意见》正式发布,明确提出到2027年,我国将推动人工智能与产业、医疗等重点领域深度融合,实现新一代智能终端普及率超过70%,智能经..."
深度融合场景是AGI技术落地的关键丨云知声CEO黄伟在2025人工智能+...,北青网,未知时间,"11月15日-17日,以“AI下一个十年:场景驱动×新质引擎”为主题的2025人工智能+大会主论坛在北京中关村国际创新中心举办。大会由国家高新区人工智能产业协同创新网络、中央广播电视总台《..."
"思必驰俞凯出席2025人工智能+大会,谈AI规模化落地的机遇与策略",千龙网,未知时间,11月15-17日，以“AI下一个十年：场景驱动×新质引擎”为主题的2025人工智能+大会在北京中关村国际创新中心举行。本次大会由国家高新区人工智能产业协同创新网络、中央广播电视总台《赢...
"医疗AI告别野蛮生长,“医疗评测基准发布与医学人工智能评测联盟...",上观新闻,未知时间,医疗人工智能告别野蛮生长，推动从“可用”到“好用”。今天上午召开的“智汇医学AI无界”浦江医学人工智能大会暨首届上海市医学人工智能应用技能大赛总结会上，医疗评测基准发布与医学...
“上地UPSIDE”2025人工智能创新创业大赛在京颁奖,中国新闻网,未知时间,中新网北京11月20日电  “上地UPSIDE”2025人工智能创新创业大赛盛典19日在北京举行。本届大赛创新设立新加坡海外专场、长三角专场、粤港澳专场，首次构建起“辐射全球”的引智通道。图...
"广东:积极推动人工智能与机器人产业创新发展,开展“人工智能+...",财联社,未知时间,【广东：积极推动人工智能与机器人产业创新发展，开展“人工智能+”行动、“机器人+”行动】财联社11月20日电，广东省人民政府印发《广东省国家数字经济创新发展试验区建设方案（2025—2027年）》，其中提出，拓展终端产业新场景。积极推动人工智能与机器人产业创新发...
四川省人工智能产业投融资对接会在绵阳举行,中国新闻网,未知时间,中新网四川新闻11月20日电 (郭文丹)11月19日，以“金融赋能智创生态”为主题的四川省人工智能产业投融资对接会在绵阳举行。省直有关部门、产业链主要承载地与协同发展地、市级及科技城...
"广东:建立健全人工智能安全监管制度,开展人工智能产业促进条例...",每日经济新闻,未知时间,依法合理设置数字经济领域行业准入规定，积极扩大数字产品市场准入。推动数字经济领域标准体系建设，鼓励企事业单位积极参与数字领域标准制修订。完善知识产权数字化服务资源供需对接，支持建设、使用国产知识产权数据库，加强数字经济领域知识产权保护。建立健全人工...
东吴证券:人工智能在债券承销领域的应用及建议,新华网,未知时间,"目前,人工智能(AI)技术正以前所未有的力量重塑投资银行业的格局,债券承销作为其核心业务之一,也正处于一场深刻的技术变革之中。当前,AI在国内外债券承销领域的应用已从概念验证逐步走向实践,主要集中在提升运营效率、优化风险管理和增强决策科学性三大维度。"
"随着欧盟委员会推迟法律的关键部分,《人工智能法案》成为批评者的...",虎嗅APP,未知时间,"随着欧盟委员会推迟法律的关键部分,《人工智能法案》成为批评者的一个案例研究,他们认为欧盟将监管置于创新之前。 2小时前 011 补刀团团长 欧盟这次真是把监管放在了创新前面呀 2小时前·山东 00 相关文章 为什么麦肯锡总“逼”企业家设定“不可能完成”的目标?高中生..."
"AI巨头财报与大模型进化共振,持续关注人工智能ETF(159819)、科创...",每日经济新闻,未知时间,"人工智能ETF(159819)、科创人工智能ETF(588730)分别跟踪上述指数,为投资者提供了布局海内外AI基础设施与前沿技术应用的便捷工具。 如需转载请与《每日经济新闻》报社联系。 未经《每日经济新闻》报社授权,严禁转载或镜像,违者必究。"
"迪拜科技高官:全球人工智能比拼的下一站不是技术,是“以人为本”",中国日报网,未知时间,数字迪拜、迪拜数据和统计机构首席执行官尤努斯·阿尔·纳赛尔11月18日在《中国日报》撰文称，如何确保人工智能，让人工智能真正为人类谋幸福，而非加剧风险或不平等，是当前世界国际社会共同面对的议题。文章呼吁各国探索建立人工智能治理的相关规章制度，以人类价值...
中外智能交通行业领域专家热议人工智能赋能交通发展新路径,央广网,未知时间,央广网海口11月20日消息（记者  蔡文娟）11月19日，以“人工智能——智能交通高质量发展新动能”为主题的第二十届中国智能交通大会在海南海口举办，来自国内外智能交通行业相关领域的领...
人工智能多场景应用加速落地,中国青年网,未知时间,作为新一轮科技革命和产业变革重要驱动力，人工智能（AI）已经成为互联网行业跃迁的强大引擎。“随着大模型等新一代人工智能迭代升级，互联网时代积累的数据金矿被不断挖掘，推动我国加...
国务院关于深入实施“人工智能+”行动的意见,央视网,未知时间,"为深入实施“人工智能+”行动,推动人工智能与经济社会各行业各领域广泛深度融合,重塑人类生产生活范式,促进生产力革命性跃迁和生产关系深层次变革,加快形成人机协同、跨界融合、共创分享的智能经济和智能社会新形态,现提出如下意见。 一、总体要求 以习近平新时代中国..."
"人工智能,大浪淘沙",北京日报客户端,未知时间,人工智能（Artificial Intelligence，AI）作为引领新一轮科技革命和产业变革的战略性信息技术，现已成为驱动科技创新、经济发展、社会进步和民生改善的重要力量。生成式人工智能（Gener...
“AI+”赋能高质量就业 大数据、人工智能助力供需双方精准对接,央视网,未知时间,"记者在采访中发现,面对多元化的就业群体,不少招聘现场引入了大数据、人工智能等现代技术,促进供需精准匹配。具体情况如何?来看记者的探访。  这段时间,在北京顺义区人力资源公共服务中..."
人工智能能力建设普惠计划,央视网,未知时间,"央视网消息:据外交部网站,为弥合数字和智能鸿沟,特别是帮助全球南方在人工智能发展进程中平等受益,中方认为要坚持联合国在国际发展合作中的统筹协调作用,坚持真正多边主义,基于主权平等、发展导向、以人为本、普惠包容、协同合作原则,通过南北合作、南南合作和三方合..."
